step	epoch
572	0.14
573	0.14
574	0.14
575	0.14
576	0.14
577	0.14
578	0.14
579	0.14
580	0.14
581	0.14
582	0.14
583	0.14
584	0.14
585	0.14
586	0.14
587	0.14
588	0.14
589	0.14
590	0.14
591	0.14
592	0.14
593	0.14
594	0.14
595	0.14
596	0.14
597	0.14
598	0.14
599	0.14
600	0.14
601	0.14
602	0.14
603	0.14
604	0.14
605	0.14
606	0.14
607	0.14
608	0.14
609	0.14
610	0.15
611	0.15
612	0.15
613	0.15
614	0.15
615	0.15
616	0.15
617	0.15
618	0.15
619	0.15
620	0.15
621	0.15
622	0.15
623	0.15
624	0.15
625	0.15
626	0.15
627	0.15
628	0.15
629	0.15
630	0.15
631	0.15
632	0.15
633	0.15
634	0.15
635	0.15
636	0.15
637	0.15
638	0.15
639	0.15
640	0.15
641	0.15
642	0.15
643	0.15
644	0.15
645	0.15
646	0.15
647	0.15
648	0.15
649	0.15
650	0.15
651	0.15
652	0.16
653	0.16
654	0.16
655	0.16
656	0.16
657	0.16
658	0.16
659	0.16
660	0.16
661	0.16
662	0.16
663	0.16
664	0.16
665	0.16
666	0.16
667	0.16
668	0.16
669	0.16
670	0.16
671	0.16
672	0.16
673	0.16
674	0.16
675	0.16
676	0.16
677	0.16
678	0.16
679	0.16
680	0.16
681	0.16
682	0.16
683	0.16
684	0.16
685	0.16
686	0.16
687	0.16
688	0.16
689	0.16
690	0.16
691	0.16
692	0.16
693	0.16
694	0.17
695	0.17
696	0.17
697	0.17
698	0.17
699	0.17
700	0.17
701	0.17
702	0.17
703	0.17
704	0.17
705	0.17
706	0.17
707	0.17
708	0.17
709	0.17
710	0.17
711	0.17
712	0.17
713	0.17
714	0.17
715	0.17
716	0.17
717	0.17
718	0.17
719	0.17
720	0.17
721	0.17
722	0.17
723	0.17
724	0.17
725	0.17
726	0.17
727	0.17
728	0.17
729	0.17
730	0.17
731	0.17
732	0.17
733	0.17
734	0.17
735	0.17
736	0.18
737	0.18
738	0.18
739	0.18
740	0.18
741	0.18
